ID,Hashtag,Text,TimeStamp
1519588970774110208,covid,#Beijing #北京封城 #北京 #Covid_19 #COVID #COVID19 #China #疫情防控,2022-04-28 08:06:57+00:00
1519588970774110208,covid,#Beijing #北京封城 #北京 #Covid_19 #COVID #COVID19 #China #疫情防控,2022-04-28 08:06:57+00:00
1519588971608784896,football,"RT @AlvaroReyfc: Non stop⚽️
•
#alvarorey #football #training #rcdeportivo #depor #kappa #nike #estrellagalicia https://t.co/5NVddH6vxj",2022-04-28 08:06:58+00:00
1519588971822854145,india,"RT @BanterIndian: I wonder why there is a sudden spike in the ""muh islamophobia in #India 😭"" tweets from those verified accounts outside In…",2022-04-28 08:06:58+00:00
1519588974351859713,covid,RT @mydaphne: Ben oui #VonDerLayen est en train de pondre une directive européenne rendant la #vaccination #covid obligatoire,2022-04-28 08:06:58+00:00
1519588975823884288,covid,RT @superpupz: #perth #WA #covid #mask #nomask #WestAustralia Less than 11hours before @MarkMcGowanMP release WA from mask wearing. Will yo…,2022-04-28 08:06:59+00:00
1519588987656351745,covid,"#COVID19
 #COVID-19
#COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:07:01+00:00
1519588987656351745,covid,"#COVID19
 #COVID-19
#COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:07:01+00:00
1519588987656351745,covid,"#COVID19
 #COVID-19
#COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:07:01+00:00
1519589014575239168,ipl,"@LeadDigitalIn David Warner

#IPL2022 #IPL #TATAIPL #T20 #KKRvDC #DCvKKR #IPLcontest2022 #cricketcontest #cricketfans #cricketquiz #predictandwin #cricketcontestindia #contest #amazon #boat #prize
Tagging  buddies ❤️
@santanush1
@ImJeet_S007
@navya_ruchi",2022-04-28 08:07:08+00:00
1519589014575239168,ipl,"@LeadDigitalIn David Warner

#IPL2022 #IPL #TATAIPL #T20 #KKRvDC #DCvKKR #IPLcontest2022 #cricketcontest #cricketfans #cricketquiz #predictandwin #cricketcontestindia #contest #amazon #boat #prize
Tagging  buddies ❤️
@santanush1
@ImJeet_S007
@navya_ruchi",2022-04-28 08:07:08+00:00
1519589014575239168,ipl,"@LeadDigitalIn David Warner

#IPL2022 #IPL #TATAIPL #T20 #KKRvDC #DCvKKR #IPLcontest2022 #cricketcontest #cricketfans #cricketquiz #predictandwin #cricketcontestindia #contest #amazon #boat #prize
Tagging  buddies ❤️
@santanush1
@ImJeet_S007
@navya_ruchi",2022-04-28 08:07:08+00:00
1519589014575239168,ipl,"@LeadDigitalIn David Warner

#IPL2022 #IPL #TATAIPL #T20 #KKRvDC #DCvKKR #IPLcontest2022 #cricketcontest #cricketfans #cricketquiz #predictandwin #cricketcontestindia #contest #amazon #boat #prize
Tagging  buddies ❤️
@santanush1
@ImJeet_S007
@navya_ruchi",2022-04-28 08:07:08+00:00
1519589017460916224,football,"That flick from 12 though 💁‍♂️. Not just a pretty face 😜

#Mitre #Football #Actor #ActorsLife https://t.co/ZUobRmoWMk",2022-04-28 08:07:09+00:00
1519589025807355904,india,"RT @stpiguwahati: #SemiconIndia2022 is being organized from April-29 to May-1, 2022 by @GoI_MeitY to make #India a #Semiconductor Nation. T…",2022-04-28 08:07:11+00:00
1519589025807355904,india,"RT @stpiguwahati: #SemiconIndia2022 is being organized from April-29 to May-1, 2022 by @GoI_MeitY to make #India a #Semiconductor Nation. T…",2022-04-28 08:07:11+00:00
1519589031004188673,elon musk,Texas man offers Elon Musk 100 acres of free land to move Twitter's headquarters - Elon #Elon -  https://t.co/gTaZJrdzmR,2022-04-28 08:07:12+00:00
1519589042022670337,covid,"RT @issat_dcaf: In a new blog post, our own @ViolaCsordas discusses the important role that #SSR plays to meet the 4C challenges: #Covid, #…",2022-04-28 08:07:14+00:00
1519589059500384257,india,RT @sonu_monika: #Blockchain adoption in #India #AI #SaaS #dataScientist #5G #DataAnalytics #Python #RStats #Reactjs #IIoT #IoT #MachineLea…,2022-04-28 08:07:19+00:00
1519589091712581632,covid,"RT @Un_EtreHumain: 📣""Il risque 150.000€ d'amende &amp; 10 ans de prison pour 4 mails dénonçant la condition des #enfants sous protocole #Covid""…",2022-04-28 08:07:26+00:00
1519589119726592000,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:07:33+00:00
1519589119726592000,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:07:33+00:00
1519589119726592000,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:07:33+00:00
1519589124071895043,india,"RT @ETNOWlive: ""Digital #India RISC-V program to consolidate our efforts &amp; financing to make the Shakti processor, Vega processor"" says MoS…",2022-04-28 08:07:34+00:00
1519589131437088769,covid,"#COVID19
 #COVID-19
 #COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:07:36+00:00
1519589131437088769,covid,"#COVID19
 #COVID-19
 #COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:07:36+00:00
1519589131437088769,covid,"#COVID19
 #COVID-19
 #COVID
#Omicron
https://t.co/8yJWkS2pIa
es-investigation-report",2022-04-28 08:07:36+00:00
1519589135140663297,india,"देशात करोना बाधितांचा आकडा पुन्हा तीन हजारच्या पार, गेल्या २४ तासात ३९ जणांचा मृत्यु 
#India #CoronaVirus #CoronavirusUpdates 
https://t.co/JhxOZj71qR",2022-04-28 08:07:37+00:00
1519589136319270912,ipl,"RT @4everKohli: Laut aao King 🔥 | Definitely sure u will comeback in next match ♥️ 
@imVkohli #ViratKohli #ViratKohli𓃵 #RCB #IPL

https://t…",2022-04-28 08:07:37+00:00
1519589137824698369,ipl,"RT @ICC: From Shikhar Dhawan to Kuldeep Yadav, a number of players have impressed one and all in the #IPL ✨

A look at the Indian players w…",2022-04-28 08:07:37+00:00
